Ly Lx dh h 
5 40 0.0025 2.500 
5 40 0.0025 2.600 
5 40 0.0025 2.700 
5 40 0.0025 2.765 
5 40 0.0025 2.775 
5 40 0.0025 2.785 
5 40 0.0025 2.795 
5 40 0.0025 2.800 
5 40 0.0025 2.805 
5 40 0.0025 2.815 
5 40 0.0025 2.825 
5 40 0.0025 2.835 
5 40 0.0025 2.845 
5 40 0.0025 2.855 
5 40 0.0025 2.865 
5 40 0.0025 2.875 
5 40 0.0025 2.885 
5 40 0.0025 2.895 
5 40 0.0025 2.900 
5 40 0.0025 2.905 
5 40 0.0025 2.915 
5 40 0.0025 3.000 
5 40 0.0025 3.100 
5 40 0.0025 3.200 
5 48 0.0250 2.000 
5 48 0.0250 2.100 
5 48 0.0250 2.200 
5 48 0.0250 2.300 
5 48 0.0250 2.400 
5 48 0.0250 2.500 
5 48 0.0250 2.600 
5 48 0.0250 2.700 
5 48 0.0250 2.765 
5 48 0.0250 2.775 
5 48 0.0250 2.785 
5 48 0.0250 2.795 
5 48 0.0250 2.800 
5 48 0.0250 2.805 
5 48 0.0250 2.815 
5 48 0.0250 2.825 
5 48 0.0250 2.835 
5 48 0.0250 2.845 
5 48 0.0250 2.855 
5 48 0.0250 2.865 
5 48 0.0250 2.875 
5 48 0.0250 2.885 
5 48 0.0250 2.895 
5 48 0.0250 2.900 
5 48 0.0250 2.905 
5 48 0.0250 2.915 
5 48 0.0250 3.000 
5 48 0.0250 3.100 
5 48 0.0250 3.200 
5 48 0.0025 2.000 
5 48 0.0025 2.100 
5 48 0.0025 2.200 
5 48 0.0025 2.300 
5 48 0.0025 2.400 
5 48 0.0025 2.500 
5 48 0.0025 2.600 
5 48 0.0025 2.700 
5 48 0.0025 2.765 
5 48 0.0025 2.775 
5 48 0.0025 2.785 
5 48 0.0025 2.795 
5 48 0.0025 2.800 
5 48 0.0025 2.805 
5 48 0.0025 2.815 
5 48 0.0025 2.825 
5 48 0.0025 2.835 
5 48 0.0025 2.845 
5 48 0.0025 2.855 
5 48 0.0025 2.865 
5 48 0.0025 2.875 
5 48 0.0025 2.885 
5 48 0.0025 2.895 
5 48 0.0025 2.900 
5 48 0.0025 2.905 
5 48 0.0025 2.915 
5 48 0.0025 3.000 
5 48 0.0025 3.100 
5 48 0.0025 3.200 
5 56 0.0250 2.000 
5 56 0.0250 2.100 
5 56 0.0250 2.200 
5 56 0.0250 2.300 
5 56 0.0250 2.400 
5 56 0.0250 2.500 
5 56 0.0250 2.600 
5 56 0.0250 2.700 
5 56 0.0250 2.765 
5 56 0.0250 2.775 
5 56 0.0250 2.785 
5 56 0.0250 2.795 
5 56 0.0250 2.800 
5 56 0.0250 2.805 
5 56 0.0250 2.815 
5 56 0.0250 2.825 
5 56 0.0250 2.835 
5 56 0.0250 2.845 
5 56 0.0250 2.855 
5 56 0.0250 2.865 
5 56 0.0250 2.875 
5 56 0.0250 2.885 
5 56 0.0250 2.895 
5 56 0.0250 2.900 
5 56 0.0250 2.905 
5 56 0.0250 2.915 
5 56 0.0250 3.000 
5 56 0.0250 3.100 
5 56 0.0250 3.200 
5 56 0.0025 2.000 
5 56 0.0025 2.100 
5 56 0.0025 2.200 
5 56 0.0025 2.300 
5 56 0.0025 2.400 
5 56 0.0025 2.500 
5 56 0.0025 2.600 
5 56 0.0025 2.700 
5 56 0.0025 2.765 
5 56 0.0025 2.775 
5 56 0.0025 2.785 
5 56 0.0025 2.795 
5 56 0.0025 2.800 
5 56 0.0025 2.805 
5 56 0.0025 2.815 
5 56 0.0025 2.825 
5 56 0.0025 2.835 
5 56 0.0025 2.845 
5 56 0.0025 2.855 
5 56 0.0025 2.865 
5 56 0.0025 2.875 
5 56 0.0025 2.885 
5 56 0.0025 2.895 
5 56 0.0025 2.900 
5 56 0.0025 2.905 
5 56 0.0025 2.915 
5 56 0.0025 3.000 
5 56 0.0025 3.100 
5 56 0.0025 3.200 
5 64 0.0250 2.000 
5 64 0.0250 2.100 
5 64 0.0250 2.200 
5 64 0.0250 2.300 
5 64 0.0250 2.400 
5 64 0.0250 2.500 
5 64 0.0250 2.600 
5 64 0.0250 2.700 
5 64 0.0250 2.765 
5 64 0.0250 2.775 
5 64 0.0250 2.785 
5 64 0.0250 2.795 
5 64 0.0250 2.800 
5 64 0.0250 2.805 
5 64 0.0250 2.815 
5 64 0.0250 2.825 
5 64 0.0250 2.835 
5 64 0.0250 2.845 
5 64 0.0250 2.855 
5 64 0.0250 2.865 
5 64 0.0250 2.875 
5 64 0.0250 2.885 
5 64 0.0250 2.895 
5 64 0.0250 2.900 
5 64 0.0250 2.905 
5 64 0.0250 2.915 
5 64 0.0250 3.000 
5 64 0.0250 3.100 
5 64 0.0250 3.200 
5 64 0.0025 2.000 
5 64 0.0025 2.100 
5 64 0.0025 2.200 
5 64 0.0025 2.300 
5 64 0.0025 2.400 
5 64 0.0025 2.500 
5 64 0.0025 2.600 
5 64 0.0025 2.700 
5 64 0.0025 2.765 
5 64 0.0025 2.775 
5 64 0.0025 2.785 
5 64 0.0025 2.795 
5 64 0.0025 2.800 
5 64 0.0025 2.805 
5 64 0.0025 2.815 
5 64 0.0025 2.825 
5 64 0.0025 2.835 
5 64 0.0025 2.845 
5 64 0.0025 2.855 
5 64 0.0025 2.865 
5 64 0.0025 2.875 
5 64 0.0025 2.885 
5 64 0.0025 2.895 
5 64 0.0025 2.900 
5 64 0.0025 2.905 
5 64 0.0025 2.915 
5 64 0.0025 3.000 
5 64 0.0025 3.100 
5 64 0.0025 3.200 
7 8 0.0250 2.000 
7 8 0.0250 2.100 
7 8 0.0250 2.200 
7 8 0.0250 2.300 
7 8 0.0250 2.400 
7 8 0.0250 2.500 
7 8 0.0250 2.600 
7 8 0.0250 2.700 
7 8 0.0250 2.800 
7 8 0.0250 2.829 
7 8 0.0250 2.839 
7 8 0.0250 2.849 
7 8 0.0250 2.859 
7 8 0.0250 2.869 
7 8 0.0250 2.879 
7 8 0.0250 2.889 
7 8 0.0250 2.899 
7 8 0.0250 2.900 
7 8 0.0250 2.909 
7 8 0.0250 2.919 
7 8 0.0250 2.929 
7 8 0.0250 2.939 
7 8 0.0250 2.949 
7 8 0.0250 2.959 
7 8 0.0250 2.969 
7 8 0.0250 2.979 
7 8 0.0250 3.000 
